Index,col,row,lat,lon,suitable_area(m2),Average_CF,Annual potential (GWh)
0,431,925,17.5,108.75,2.0E+06,0.272,25.62
1,431,926,17.5,109.0625,6.9E+07,0.289,939.27
2,431,927,17.5,109.375,5.0E+06,0.315,74.07
3,431,928,17.5,109.6875,1.7E+08,0.336,2668.70
4,431,929,17.5,110,2.0E+08,0.345,3194.74
5,431,930,17.5,110.3125,0.0E+00,0.347,0.00
6,432,924,17.75,108.4375,2.1E+08,0.270,2696.53
7,432,925,17.75,108.75,6.3E+08,0.253,7483.55
8,432,926,17.75,109.0625,1.5E+08,0.261,1876.82
9,432,927,17.75,109.375,0.0E+00,0.292,0.00
10,432,928,17.75,109.6875,8.0E+06,0.323,121.39
11,432,929,17.75,110,2.0E+08,0.340,3113.56
12,432,930,17.75,110.3125,5.0E+08,0.344,8033.99
13,432,931,17.75,110.625,3.8E+07,0.349,624.44
14,433,923,18,108.125,0.0E+00,0.309,0.00
15,433,924,18,108.4375,8.2E+08,0.270,10358.90
16,433,925,18,108.75,8.1E+08,0.228,8616.48
17,433,926,18,109.0625,5.2E+08,0.214,5265.55
18,433,927,18,109.375,4.5E+08,0.216,4518.22
19,433,928,18,109.6875,7.4E+08,0.252,8771.68
20,433,929,18,110,3.3E+08,0.308,4721.08
21,433,930,18,110.3125,3.4E+08,0.341,5415.66
22,433,931,18,110.625,1.8E+08,0.347,2973.98
23,433,932,18,110.9375,0.0E+00,0.355,0.00
24,434,922,18.25,107.8125,0.0E+00,0.346,0.00
25,434,923,18.25,108.125,0.0E+00,0.332,0.00
26,434,924,18.25,108.4375,5.9E+08,0.284,7840.99
27,434,925,18.25,108.75,9.2E+08,0.212,9121.43
28,434,926,18.25,109.0625,8.2E+08,0.137,5271.01
29,434,927,18.25,109.375,5.6E+08,0.104,2740.09
30,434,928,18.25,109.6875,5.4E+08,0.123,3082.49
31,434,929,18.25,110,9.0E+08,0.239,10070.91
32,434,930,18.25,110.3125,4.1E+08,0.328,6394.63
33,434,931,18.25,110.625,8.5E+07,0.343,1371.78
34,434,932,18.25,110.9375,5.9E+07,0.354,983.58
35,434,933,18.25,111.25,0.0E+00,0.362,0.00
36,435,922,18.5,107.8125,0.0E+00,0.368,0.00
37,435,923,18.5,108.125,0.0E+00,0.360,0.00
38,435,924,18.5,108.4375,4.8E+08,0.320,7211.25
39,435,925,18.5,108.75,5.1E+08,0.203,4881.85
40,435,926,18.5,109.0625,2.6E+07,0.096,117.98
41,435,928,18.5,109.6875,1.9E+07,0.075,66.87
42,435,929,18.5,110,2.3E+08,0.152,1656.17
43,435,930,18.5,110.3125,9.0E+08,0.287,12077.12
44,435,931,18.5,110.625,7.4E+08,0.338,11698.87
45,435,932,18.5,110.9375,6.2E+07,0.355,1035.22
46,435,933,18.5,111.25,0.0E+00,0.365,0.00
47,436,922,18.75,107.8125,0.0E+00,0.391,0.00
48,436,923,18.75,108.125,0.0E+00,0.396,0.00
49,436,924,18.75,108.4375,4.2E+08,0.368,7193.22
50,436,925,18.75,108.75,2.3E+08,0.198,2154.42
51,436,930,18.75,110.3125,1.7E+08,0.205,1631.05
52,436,931,18.75,110.625,8.8E+08,0.325,13443.31
53,436,932,18.75,110.9375,6.7E+08,0.356,11160.36
54,436,933,18.75,111.25,3.0E+06,0.366,51.59
55,437,922,19,107.8125,0.0E+00,0.407,0.00
56,437,923,19,108.125,0.0E+00,0.423,0.00
57,437,924,19,108.4375,2.9E+08,0.407,5486.94
58,437,925,19,108.75,1.4E+08,0.256,1634.45
59,437,930,19,110.3125,0.0E+00,0.132,0.00
60,437,931,19,110.625,7.3E+08,0.221,7573.23
61,437,932,19,110.9375,9.1E+08,0.349,14939.03
62,437,933,19,111.25,8.3E+07,0.368,1437.38
63,437,934,19,111.5625,0.0E+00,0.376,0.00
64,438,922,19.25,107.8125,0.0E+00,0.411,0.00
65,438,923,19.25,108.125,0.0E+00,0.425,0.00
66,438,924,19.25,108.4375,1.2E+08,0.421,2276.34
67,438,925,19.25,108.75,1.9E+08,0.310,2723.30
68,438,931,19.25,110.625,4.7E+08,0.172,3768.57
69,438,932,19.25,110.9375,9.1E+08,0.319,13683.37
70,438,933,19.25,111.25,5.3E+08,0.374,9331.82
71,438,934,19.25,111.5625,0.0E+00,0.378,0.00
72,438,935,19.25,111.875,0.0E+00,0.381,0.00
73,439,922,19.5,107.8125,0.0E+00,0.403,0.00
74,439,923,19.5,108.125,0.0E+00,0.409,0.00
75,439,924,19.5,108.4375,0.0E+00,0.405,0.00
76,439,925,19.5,108.75,5.4E+08,0.336,8566.77
77,439,926,19.5,109.0625,1.4E+08,0.172,1130.44
78,439,931,19.5,110.625,6.5E+07,0.163,498.45
79,439,932,19.5,110.9375,7.6E+08,0.290,10289.20
80,439,933,19.5,111.25,2.6E+08,0.389,4756.87
81,439,934,19.5,111.5625,0.0E+00,0.380,0.00
82,439,935,19.5,111.875,0.0E+00,0.383,0.00
83,440,922,19.75,107.8125,0.0E+00,0.389,0.00
84,440,923,19.75,108.125,0.0E+00,0.390,0.00
85,440,924,19.75,108.4375,0.0E+00,0.381,0.00
86,440,925,19.75,108.75,1.1E+08,0.346,1790.95
87,440,926,19.75,109.0625,6.9E+08,0.259,8387.12
88,440,927,19.75,109.375,1.0E+08,0.177,856.87
89,440,928,19.75,109.6875,1.0E+07,0.148,69.74
90,440,931,19.75,110.625,0.0E+00,0.223,0.00
91,440,932,19.75,110.9375,2.5E+08,0.336,3986.89
92,440,933,19.75,111.25,7.6E+08,0.391,14060.44
93,440,934,19.75,111.5625,6.8E+07,0.386,1232.88
94,440,935,19.75,111.875,0.0E+00,0.384,0.00
95,441,923,20,108.125,0.0E+00,0.372,0.00
96,441,924,20,108.4375,0.0E+00,0.356,0.00
97,441,925,20,108.75,0.0E+00,0.328,0.00
98,441,926,20,109.0625,7.7E+07,0.290,1051.97
99,441,927,20,109.375,6.3E+08,0.245,7246.81
100,441,928,20,109.6875,5.4E+08,0.223,5630.46
101,441,929,20,110,5.7E+08,0.199,5323.88
102,441,930,20,110.3125,2.8E+08,0.231,3025.96
103,441,931,20,110.625,2.9E+08,0.291,4002.69
104,441,932,20,110.9375,6.4E+08,0.368,11089.33
105,441,933,20,111.25,9.0E+08,0.399,16852.70
106,441,934,20,111.5625,4.8E+08,0.388,8700.17
107,441,935,20,111.875,0.0E+00,0.383,0.00
108,442,924,20.25,108.4375,0.0E+00,0.334,0.00
109,442,925,20.25,108.75,0.0E+00,0.310,0.00
110,442,926,20.25,109.0625,0.0E+00,0.284,0.00
111,442,927,20.25,109.375,2.1E+07,0.258,255.23
112,442,928,20.25,109.6875,7.4E+08,0.250,8660.18
113,442,929,20.25,110,6.0E+08,0.264,7431.49
114,442,930,20.25,110.3125,5.4E+08,0.281,7154.15
115,442,931,20.25,110.625,8.9E+08,0.318,13295.69
116,442,932,20.25,110.9375,9.0E+08,0.371,15739.18
117,442,933,20.25,111.25,9.1E+08,0.392,16685.66
118,442,934,20.25,111.5625,5.7E+08,0.386,10279.66
119,443,925,20.5,108.75,0.0E+00,0.294,0.00
120,443,926,20.5,109.0625,0.0E+00,0.274,0.00
121,443,927,20.5,109.375,0.0E+00,0.255,0.00
122,443,928,20.5,109.6875,5.4E+08,0.252,6382.44
123,443,929,20.5,110,1.4E+08,0.289,1945.59
124,443,930,20.5,110.3125,3.3E+07,0.317,492.26
125,443,931,20.5,110.625,8.1E+08,0.324,12345.42
126,443,932,20.5,110.9375,9.0E+08,0.364,15440.13
127,443,933,20.5,111.25,8.9E+08,0.381,15904.24
128,443,934,20.5,111.5625,2.5E+08,0.379,4457.65
129,444,921,20.75,107.5,2.0E+06,0.265,24.91
130,444,922,20.75,107.8125,1.9E+08,0.315,2815.16
131,444,923,20.75,108.125,9.7E+07,0.319,1453.35
132,444,924,20.75,108.4375,0.0E+00,0.302,0.00
133,444,925,20.75,108.75,0.0E+00,0.283,0.00
134,444,926,20.75,109.0625,6.1E+07,0.265,759.86
135,444,927,20.75,109.375,4.0E+08,0.249,4667.15
136,444,928,20.75,109.6875,6.1E+08,0.254,7281.89
137,444,929,20.75,110,8.0E+06,0.278,104.42
138,444,930,20.75,110.3125,4.0E+08,0.290,5406.26
139,444,931,20.75,110.625,9.0E+08,0.313,13158.73
140,444,932,20.75,110.9375,9.0E+08,0.347,14697.29
141,444,933,20.75,111.25,8.1E+08,0.367,13966.75
142,444,934,20.75,111.5625,4.6E+08,0.370,8084.07
143,444,935,20.75,111.875,2.4E+08,0.372,4125.39
144,444,936,20.75,112.1875,2.2E+08,0.369,3850.69
145,444,937,20.75,112.5,2.9E+07,0.366,499.39
146,445,921,21,107.5,5.2E+08,0.156,3787.08
147,445,922,21,107.8125,8.9E+08,0.263,11022.78
148,445,923,21,108.125,8.2E+08,0.308,11888.96
149,445,924,21,108.4375,1.6E+08,0.296,2197.04
150,445,925,21,108.75,1.9E+07,0.277,247.37
151,445,926,21,109.0625,7.1E+08,0.263,8779.15
152,445,927,21,109.375,9.0E+08,0.243,10265.32
153,445,928,21,109.6875,4.3E+08,0.242,4925.33
154,445,929,21,110,9.0E+06,0.259,109.63
155,445,930,21,110.3125,5.9E+08,0.254,7071.07
156,445,931,21,110.625,7.4E+08,0.282,9790.93
157,445,932,21,110.9375,9.0E+08,0.320,13527.13
158,445,933,21,111.25,9.0E+08,0.348,14749.23
159,445,934,21,111.5625,9.0E+08,0.359,15171.33
160,445,935,21,111.875,9.0E+08,0.365,15466.93
161,445,936,21,112.1875,9.0E+08,0.362,15318.77
162,445,937,21,112.5,8.1E+08,0.359,13630.32
163,445,938,21,112.8125,2.4E+08,0.358,4112.92
164,445,939,21,113.125,0.0E+00,0.356,0.00
165,446,921,21.25,107.5,4.0E+08,0.077,1459.10
166,446,922,21.25,107.8125,8.2E+08,0.217,8426.30
167,446,923,21.25,108.125,8.5E+08,0.290,11564.23
168,446,924,21.25,108.4375,8.3E+08,0.294,11499.51
169,446,925,21.25,108.75,7.2E+08,0.274,9312.81
170,446,926,21.25,109.0625,9.0E+08,0.262,11038.74
171,446,927,21.25,109.375,9.0E+08,0.237,10025.24
172,446,928,21.25,109.6875,6.7E+08,0.238,7445.50
173,446,929,21.25,110,2.4E+07,0.240,270.60
174,446,930,21.25,110.3125,1.2E+08,0.238,1341.06
175,446,931,21.25,110.625,4.3E+08,0.245,4966.65
176,446,932,21.25,110.9375,9.0E+08,0.276,11637.04
177,446,933,21.25,111.25,9.0E+08,0.315,13300.60
178,446,934,21.25,111.5625,9.0E+08,0.334,14117.79
179,446,935,21.25,111.875,9.0E+08,0.344,14534.44
180,446,936,21.25,112.1875,9.0E+08,0.345,14535.93
181,446,937,21.25,112.5,9.0E+08,0.345,14616.84
182,446,938,21.25,112.8125,9.0E+08,0.350,14728.02
183,446,939,21.25,113.125,7.9E+08,0.348,12943.68
184,446,940,21.25,113.4375,3.8E+08,0.344,6070.09
185,446,941,21.25,113.75,1.4E+07,0.346,227.84
186,447,921,21.5,107.5,3.7E+07,0.076,132.16
187,447,922,21.5,107.8125,3.0E+08,0.156,2195.21
188,447,923,21.5,108.125,4.8E+08,0.267,6005.33
189,447,924,21.5,108.4375,7.9E+08,0.295,10886.32
190,447,925,21.5,108.75,8.8E+08,0.280,11619.11
191,447,926,21.5,109.0625,6.0E+08,0.271,7664.41
192,447,927,21.5,109.375,3.1E+08,0.267,3885.32
193,447,928,21.5,109.6875,5.8E+08,0.240,6501.86
194,447,929,21.5,110,9.0E+07,0.242,1025.39
195,447,930,21.5,110.3125,2.3E+07,0.233,252.02
196,447,931,21.5,110.625,6.0E+06,0.238,67.12
197,447,932,21.5,110.9375,1.8E+08,0.232,1928.15
198,447,933,21.5,111.25,3.6E+08,0.261,4404.62
199,447,934,21.5,111.5625,5.8E+08,0.292,7957.81
200,447,935,21.5,111.875,8.2E+08,0.302,11683.50
201,447,936,21.5,112.1875,8.9E+08,0.314,13142.07
202,447,937,21.5,112.5,8.8E+08,0.313,12903.25
203,447,938,21.5,112.8125,8.5E+08,0.326,13092.89
204,447,939,21.5,113.125,9.0E+08,0.336,14155.08
205,447,940,21.5,113.4375,9.0E+08,0.334,14113.58
206,447,941,21.5,113.75,6.3E+08,0.335,9948.00
207,447,942,21.5,114.0625,2.0E+08,0.339,3190.30
208,447,943,21.5,114.375,1.3E+08,0.347,2036.98
209,447,944,21.5,114.6875,0.0E+00,0.356,0.00
210,448,920,21.75,107.1875,1.3E+07,0.176,107.90
211,448,921,21.75,107.5,2.5E+07,0.106,125.15
212,448,922,21.75,107.8125,1.0E+06,0.084,3.94
213,448,923,21.75,108.125,5.0E+06,0.185,43.54
214,448,924,21.75,108.4375,3.0E+08,0.303,4317.33
215,448,925,21.75,108.75,2.5E+08,0.304,3536.29
216,448,926,21.75,109.0625,3.0E+06,0.296,41.76
217,448,927,21.75,109.375,2.6E+07,0.275,336.31
218,448,928,21.75,109.6875,6.5E+07,0.253,774.68
219,448,934,21.75,111.5625,1.4E+07,0.174,114.60
220,448,935,21.75,111.875,2.9E+08,0.246,3365.51
221,448,936,21.75,112.1875,4.5E+08,0.272,5745.87
222,448,937,21.75,112.5,4.4E+08,0.264,5452.61
223,448,938,21.75,112.8125,7.5E+08,0.272,9571.40
224,448,939,21.75,113.125,8.7E+08,0.305,12457.88
225,448,940,21.75,113.4375,8.9E+08,0.323,13550.00
226,448,941,21.75,113.75,9.0E+08,0.320,13509.92
227,448,942,21.75,114.0625,8.9E+08,0.325,13567.98
228,448,943,21.75,114.375,7.1E+08,0.334,11202.39
229,448,944,21.75,114.6875,2.2E+07,0.343,355.15
230,448,945,21.75,115,3.0E+06,0.357,50.42
231,448,946,21.75,115.3125,0.0E+00,0.373,0.00
232,449,924,22,108.4375,2.1E+07,0.283,279.16
233,449,925,22,108.75,7.0E+06,0.317,104.44
234,449,936,22,112.1875,0.0E+00,0.224,0.00
235,449,937,22,112.5,6.2E+07,0.241,703.46
236,449,938,22,112.8125,1.1E+08,0.216,1119.40
237,449,939,22,113.125,5.6E+08,0.255,6699.71
238,449,940,22,113.4375,7.3E+08,0.296,10214.30
239,449,941,22,113.75,8.4E+08,0.294,11529.01
240,449,942,22,114.0625,8.6E+08,0.292,11805.35
241,449,943,22,114.375,8.7E+08,0.312,12710.31
242,449,944,22,114.6875,7.8E+08,0.323,11894.11
243,449,945,22,115,3.0E+08,0.341,4878.86
244,449,946,22,115.3125,1.6E+07,0.361,271.38
245,449,947,22,115.625,0.0E+00,0.376,0.00
246,449,948,22,115.9375,0.0E+00,0.390,0.00
247,449,949,22,116.25,0.0E+00,0.401,0.00
248,450,939,22.25,113.125,4.7E+07,0.232,511.73
249,450,940,22.25,113.4375,1.7E+08,0.269,2121.39
250,450,941,22.25,113.75,8.3E+08,0.248,9633.10
251,450,942,22.25,114.0625,6.1E+08,0.229,6560.60
252,450,943,22.25,114.375,7.7E+08,0.269,9729.74
253,450,944,22.25,114.6875,8.9E+08,0.286,12004.93
254,450,945,22.25,115,8.8E+08,0.313,12866.80
255,450,946,22.25,115.3125,5.6E+08,0.340,8937.25
256,450,947,22.25,115.625,3.3E+08,0.359,5540.23
257,450,948,22.25,115.9375,6.4E+08,0.380,11521.56
258,450,949,22.25,116.25,5.2E+08,0.394,9551.89
259,450,950,22.25,116.5625,5.3E+07,0.404,1006.42
260,450,951,22.25,116.875,1.3E+08,0.412,2579.04
261,451,940,22.5,113.4375,1.0E+08,0.254,1207.64
262,451,941,22.5,113.75,7.9E+08,0.221,8186.91
263,451,942,22.5,114.0625,1.3E+08,0.214,1281.01
264,451,943,22.5,114.375,5.0E+08,0.212,4937.21
265,451,944,22.5,114.6875,7.6E+08,0.233,8337.98
266,451,945,22.5,115,8.5E+08,0.275,11035.15
267,451,946,22.5,115.3125,8.9E+08,0.296,12384.00
268,451,947,22.5,115.625,8.9E+08,0.332,13870.58
269,451,948,22.5,115.9375,8.9E+08,0.361,15112.44
270,451,949,22.5,116.25,8.9E+08,0.381,15939.05
271,451,950,22.5,116.5625,7.9E+08,0.396,14717.19
272,451,951,22.5,116.875,8.8E+08,0.408,16962.90
273,451,952,22.5,117.1875,2.1E+08,0.418,4126.88
274,452,940,22.75,113.4375,6.2E+07,0.245,714.23
275,452,941,22.75,113.75,3.0E+08,0.225,3135.10
276,452,943,22.75,114.375,1.2E+07,0.186,104.79
277,452,944,22.75,114.6875,3.4E+08,0.175,2777.16
278,452,945,22.75,115,3.4E+08,0.178,2838.67
279,452,946,22.75,115.3125,5.0E+08,0.202,4770.69
280,452,947,22.75,115.625,6.5E+08,0.261,8041.14
281,452,948,22.75,115.9375,6.6E+08,0.304,9478.38
282,452,949,22.75,116.25,8.6E+08,0.341,13821.59
283,452,950,22.75,116.5625,8.8E+08,0.380,15629.06
284,452,951,22.75,116.875,8.9E+08,0.399,16673.14
285,452,952,22.75,117.1875,6.7E+08,0.416,13153.40
286,452,953,22.75,117.5,1.6E+08,0.428,3201.07
287,453,946,23,115.3125,4.0E+06,0.106,19.95
288,453,947,23,115.625,8.0E+06,0.204,76.81
289,453,948,23,115.9375,3.0E+06,0.218,30.76
290,453,949,23,116.25,1.7E+08,0.248,1921.54
291,453,950,23,116.5625,6.1E+08,0.325,9251.67
292,453,951,23,116.875,8.9E+08,0.385,16073.06
293,453,952,23,117.1875,7.7E+08,0.411,14959.07
294,453,953,23,117.5,2.4E+08,0.427,4862.08
295,453,954,23,117.8125,5.6E+08,0.435,11417.67
296,453,955,23,118.125,4.0E+06,0.432,81.18
297,454,950,23.25,116.5625,2.0E+08,0.244,2317.54
298,454,951,23.25,116.875,8.1E+08,0.336,12848.87
299,454,952,23.25,117.1875,7.4E+08,0.393,13681.93
300,454,953,23.25,117.5,6.9E+08,0.426,13894.04
301,454,954,23.25,117.8125,7.6E+08,0.442,15698.02
302,454,955,23.25,118.125,4.9E+08,0.440,10078.57
303,454,956,23.25,118.4375,0.0E+00,0.435,0.00
304,455,950,23.5,116.5625,7.0E+06,0.161,52.84
305,455,951,23.5,116.875,3.3E+08,0.236,3702.82
306,455,952,23.5,117.1875,7.3E+08,0.312,10669.25
307,455,953,23.5,117.5,8.0E+08,0.413,15537.94
308,455,954,23.5,117.8125,7.9E+08,0.447,16588.29
309,455,955,23.5,118.125,7.8E+08,0.447,16402.62
310,455,956,23.5,118.4375,2.4E+08,0.447,4944.17
311,456,951,23.75,116.875,0.0E+00,0.115,0.00
312,456,952,23.75,117.1875,1.1E+08,0.180,923.38
313,456,953,23.75,117.5,4.7E+08,0.310,6787.00
314,456,954,23.75,117.8125,7.4E+08,0.415,14400.23
315,456,955,23.75,118.125,8.7E+08,0.447,18302.15
316,456,956,23.75,118.4375,6.1E+08,0.458,13083.94
317,456,957,23.75,118.75,4.3E+07,0.455,919.71
318,456,958,23.75,119.0625,0.0E+00,0.446,0.00
319,457,953,24,117.5,6.8E+07,0.126,403.26
320,457,954,24,117.8125,5.3E+08,0.320,7986.22
321,457,955,24,118.125,8.4E+08,0.430,16965.26
322,457,956,24,118.4375,3.5E+08,0.462,7652.38
323,457,957,24,118.75,1.5E+08,0.469,3355.01
324,457,958,24,119.0625,0.0E+00,0.467,0.00
325,457,959,24,119.375,0.0E+00,0.463,0.00
326,458,954,24.25,117.8125,3.6E+07,0.208,352.40
327,458,955,24.25,118.125,6.5E+08,0.389,11830.78
328,458,956,24.25,118.4375,6.0E+08,0.468,13216.25
329,458,957,24.25,118.75,7.8E+08,0.483,17768.84
330,458,958,24.25,119.0625,2.0E+08,0.485,4468.16
331,458,959,24.25,119.375,6.4E+07,0.483,1454.53
332,458,960,24.25,119.6875,0.0E+00,0.483,0.00
333,459,954,24.5,117.8125,9.1E+07,0.113,482.37
334,459,955,24.5,118.125,4.5E+08,0.290,6151.38
335,459,956,24.5,118.4375,6.4E+08,0.451,13652.88
336,459,957,24.5,118.75,8.2E+08,0.491,18848.11
337,459,958,24.5,119.0625,5.6E+08,0.500,13111.16
338,459,959,24.5,119.375,9.6E+07,0.501,2262.62
339,459,960,24.5,119.6875,1.8E+08,0.502,4226.35
340,460,955,24.75,118.125,2.6E+07,0.151,184.40
341,460,956,24.75,118.4375,2.7E+07,0.324,411.61
342,460,957,24.75,118.75,5.9E+08,0.454,12491.85
343,460,958,24.75,119.0625,7.8E+08,0.509,18588.12
344,460,959,24.75,119.375,4.9E+08,0.517,11997.02
345,460,960,24.75,119.6875,5.7E+08,0.521,14064.66
346,460,961,24.75,120,1.2E+08,0.524,2881.11
347,460,962,24.75,120.3125,0.0E+00,0.520,0.00
348,461,957,25,118.75,1.0E+08,0.353,1708.66
349,461,958,25,119.0625,7.8E+08,0.490,17881.67
350,461,959,25,119.375,8.2E+08,0.531,20411.44
351,461,960,25,119.6875,7.6E+08,0.537,19280.76
352,461,961,25,120,8.7E+08,0.534,21725.29
353,461,962,25,120.3125,1.7E+08,0.533,4265.30
354,462,957,25.25,118.75,4.0E+06,0.190,35.74
355,462,958,25.25,119.0625,3.4E+08,0.409,6537.19
356,462,959,25.25,119.375,6.5E+08,0.523,15876.77
357,462,960,25.25,119.6875,8.0E+08,0.546,20425.58
358,462,961,25.25,120,8.5E+08,0.539,21536.94
359,462,962,25.25,120.3125,4.7E+08,0.534,11837.87
360,463,958,25.5,119.0625,8.0E+07,0.243,914.12
361,463,959,25.5,119.375,4.4E+08,0.453,9462.34
362,463,960,25.5,119.6875,4.8E+08,0.538,12227.66
363,463,961,25.5,120,8.5E+08,0.536,21433.29
364,463,962,25.5,120.3125,1.2E+08,0.526,3068.86
365,464,959,25.75,119.375,5.1E+07,0.242,581.56
366,464,960,25.75,119.6875,6.9E+08,0.468,15110.17
367,464,961,25.75,120,8.4E+08,0.529,20894.08
368,464,962,25.75,120.3125,5.9E+08,0.511,14168.25
369,464,963,25.75,120.625,0.0E+00,0.500,0.00
370,465,959,26,119.375,5.0E+06,0.124,29.10
371,465,960,26,119.6875,5.2E+08,0.337,8308.75
372,465,961,26,120,7.4E+08,0.499,17329.03
373,465,962,26,120.3125,2.4E+08,0.496,5577.09
374,465,963,26,120.625,0.0E+00,0.487,0.00
375,466,960,26.25,119.6875,4.4E+08,0.171,3554.38
376,466,961,26.25,120,7.8E+08,0.411,15126.27
377,466,962,26.25,120.3125,7.3E+08,0.478,16397.52
378,466,963,26.25,120.625,7.2E+08,0.477,16049.46
379,466,964,26.25,120.9375,8.3E+07,0.465,1814.63
380,467,960,26.5,119.6875,3.2E+08,0.048,721.90
381,467,961,26.5,120,7.3E+08,0.223,7645.76
382,467,962,26.5,120.3125,8.6E+08,0.436,17611.28
383,467,963,26.5,120.625,6.8E+08,0.466,14800.73
384,467,964,26.5,120.9375,3.4E+07,0.456,728.74
385,468,959,26.75,119.375,1.0E+06,0.026,1.22
386,468,960,26.75,119.6875,3.4E+08,0.022,356.75
387,468,961,26.75,120,3.8E+08,0.099,1776.94
388,468,962,26.75,120.3125,8.6E+08,0.332,13383.19
389,468,963,26.75,120.625,8.0E+08,0.448,16926.14
390,468,964,26.75,120.9375,3.7E+08,0.446,7698.40
391,468,965,26.75,121.25,3.9E+07,0.449,823.80
392,469,961,27,120,3.3E+07,0.071,110.94
393,469,962,27,120.3125,5.0E+08,0.165,3897.93
394,469,963,27,120.625,8.6E+08,0.386,15515.34
395,469,964,27,120.9375,7.1E+08,0.430,14390.66
396,469,965,27,121.25,5.1E+08,0.441,10530.18
397,469,966,27,121.5625,0.0E+00,0.445,0.00
398,470,962,27.25,120.3125,1.4E+08,0.105,670.37
399,470,963,27.25,120.625,7.1E+08,0.296,9893.96
400,470,964,27.25,120.9375,8.6E+08,0.396,15926.52
401,470,965,27.25,121.25,3.2E+08,0.427,6502.32
402,470,966,27.25,121.5625,2.0E+07,0.440,414.12
403,471,963,27.5,120.625,3.4E+08,0.198,3181.90
404,471,964,27.5,120.9375,8.3E+08,0.349,13614.26
405,471,965,27.5,121.25,8.1E+08,0.407,15394.56
406,471,966,27.5,121.5625,3.2E+08,0.428,6456.45
407,471,967,27.5,121.875,0.0E+00,0.436,0.00
408,472,963,27.75,120.625,1.4E+08,0.119,787.64
409,472,964,27.75,120.9375,7.5E+08,0.266,9309.93
410,472,965,27.75,121.25,8.1E+08,0.378,14442.32
411,472,966,27.75,121.5625,8.5E+08,0.408,16358.12
412,472,967,27.75,121.875,5.3E+08,0.425,10511.70
413,472,968,27.75,122.1875,0.0E+00,0.433,0.00
414,473,964,28,120.9375,3.6E+08,0.163,2727.33
415,473,965,28,121.25,7.0E+08,0.320,10510.74
416,473,966,28,121.5625,8.5E+08,0.379,15183.82
417,473,967,28,121.875,8.2E+08,0.410,15762.09
418,473,968,28,122.1875,1.7E+08,0.424,3428.34
419,473,969,28,122.5,0.0E+00,0.429,0.00
420,474,964,28.25,120.9375,3.8E+07,0.114,203.28
421,474,965,28.25,121.25,3.7E+08,0.251,4316.75
422,474,966,28.25,121.5625,6.8E+08,0.351,11151.82
423,474,967,28.25,121.875,8.5E+08,0.399,15935.87
424,474,968,28.25,122.1875,6.1E+08,0.416,11883.55
425,474,969,28.25,122.5,0.0E+00,0.423,0.00
426,475,965,28.5,121.25,2.0E+06,0.191,17.97
427,475,966,28.5,121.5625,4.1E+08,0.322,6139.92
428,475,967,28.5,121.875,8.3E+08,0.387,15098.66
429,475,968,28.5,122.1875,8.4E+08,0.409,16231.91
430,475,969,28.5,122.5,1.9E+08,0.418,3712.56
431,476,966,28.75,121.5625,3.2E+08,0.281,4175.69
432,476,967,28.75,121.875,8.2E+08,0.368,14256.18
433,476,968,28.75,122.1875,8.4E+08,0.401,15917.21
434,476,969,28.75,122.5,6.5E+08,0.412,12511.04
435,476,970,28.75,122.8125,1.0E+07,0.415,195.14
436,477,966,29,121.5625,2.2E+08,0.238,2488.31
437,477,967,29,121.875,7.7E+08,0.333,12000.68
438,477,968,29,122.1875,8.4E+08,0.387,15319.47
439,477,969,29,122.5,8.4E+08,0.405,16064.84
